"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
PC 40:4,C48 H88 N O8 P,837.6252,9.05,,688499.186070669,256346.847931019,357098.394740429,405076.518458731,504774.053236594,602192.89035396
PC 38:2,C46 H88 N O8 P,813.6250,9.73,,671790.150402184,331299.370078552,253327.190386418,852665.712987,708001.045153036,797152.607074614
DG 16:0_18:1,C37 H70 O5,594.5245,11.29,,533118.741637821,533086.58341468,485289.802350812,1433755.98897179,947863.225639001,704755.167632292
LPC 0:0_16:0,C24 H50 N O7 P,495.3331,1.69,,343906.620371948,233313.862233121,171643.342082282,177956.721599521,101656.502390813,149082.715939928
PE 16:1_20:4,C41 H72 N O8 P,737.5012,5.50,,3626728.350119,1596466.47426672,1204127.8930285,4959578.19915112,5439917.06394925,7340122.75376563
PE 15:0_18:1(d7),C38 H67 D7 N O8 P,710.5598,6.89,,615063.587323918,378165.593199957,347641.589582834,395273.555026028,459827.015354632,480239.659483923
PC 38:2,C46 H88 N O8 P,813.6247,9.98,,319920.524362719,278266.01046829,113334.069371004,1041865.48815446,154257.596349604,1834001.0507466
TG 54:1,C57 H108 O6,888.8150,14.69,,1815596.64582587,1675424.98606207,1765555.47839574,2148751.31246078,1724672.69626262,2087272.04596173
DG 15:0_18:1(d7),C36 H61 D7 O5,587.5514,10.14,,1732543.29623338,1326406.1253932,1166783.99653094,1069797.05886827,1141233.73346982,1225793.99779798
PC 15:0_20:4,C43 H78 N O8 P,767.5470,5.71,,,,,,,696892.363895472
SM d33:1,C38 H77 N2 O6 P,688.5527,5.39,,506641.105797821,256474.69247529,209294.79813245,123423.182172279,178387.242378518,177424.750280383
